Id,Designator,Footprint,Quantity,Designation,Supplier and ref
1,C24,C_0402_1005Metric,1,100nf 100V,GRM155R62A104KE14D
2,IC1,SOP50P490X110-10N,1,INA239AIDGSR,INA239AIDGSR
3,R12,BVS-M-R0005-1.0,1,0.5MOhm 9W,BVS-M-R0005-1.0
4,"R19,R18",R_0201_0603Metric,2,220E 0.1%,ERA-1AEB221C
5,D6,D_MicroSMP_AK,1,V2PM10HM3/H,V2PM10HM3/H
6,"C2,C1",C_0402_1005Metric,2,8pF 1%,GCM1555C1H8R0FA16D
7,"C18,C17,C19",C_1206_3216Metric,3,4.7uF 63V,GRM31CC72A475ME11L
8,"C10,C13",C_0201_0603Metric,2,4.7uF,GRM035R60J475ME15D
9,R14,C_0201_0603Metric,1,64.9K,RC0201FR-0764K9L
10,IC3,SOIC127P600X170-9N,1,LMR38020SDDAR,LMR38020SDDAR
11,J5,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,~
12,TP2,TestPoint_Pad_D1.0mm,1,TestPoint,~
13,"R11,R6,R5,R7,R8",R_0201_0603Metric,5,220E,ERJ-1GNJ221C
14,"C23,C22",C_0805_2012Metric,2,47uF,GRM21BR60J476ME01K
15,"C6,C12,C3,C21,C4,C5,C14,C15",C_0201_0603Metric,8,100nf,CL03A104KQ3NNNC
16,J4,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,~
17,R17,C_0201_0603Metric,1,10K 1%,ERJ-1GNF1002C
18,C7,C_0402_1005Metric,1,10nf,C0402C103K4REC7411
19,C20,C_0603_1608Metric,1,100nf 100V,CL10B104KC8NNNC
20,R15,R_0201_0603Metric,1,100K,RC0201FR-07100KL
21,"D5,D2,D1,D4,D3",LED_0603_1608Metric,5,LED,B1911USD-20D000114U1930
22,L2,INDPM7265X400N,1,15uH 2A(Min),SRP6540-150M
23,"R1,R4,R2",R_0201_0603Metric,3,10K,ERJ-1GNF1002C
24,Y1,NX3225GD8MHZSTDCRA3,1,"NX3225GD-8MHZ-EXS00A-CG04874
",NX3225GD-8MHZ-EXS00A-CG04874
25,C8,C_0201_0603Metric,1,1uF,CL03A105MQ3CSNH
26,R16,C_0201_0603Metric,1,40.2K 1%,RMCF0201FT40K2 
27,D7,SOT95P230X117-3N,1,CDSOT23-T24CAN,CDSOT23-T24CAN
28,U1,LQFP-48_7x7mm_P0.5mm,1,STM32L431CBTx,STM32L431CBT6
29,JDBG1,PinHeader_1x04_P1.00mm_Vertical_SMD_Pin1Left,1,Conn_01x04,~
30,"C11,C9",C_0201_0603Metric,2,100nF,CL03A104KQ3NNNC
31,R9,R_0402_1005Metric,1,10K,ERJ-1GNF1002C
32,C16,C_0402_1005Metric,1,10uF,GRM155R60J106ME05J
33,J2,AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,1,Conn_01x02,AMASS_XT60PW-F
34,U2,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,1,TJA1051TK-3,TJA1051TK-3
35,J1,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,Conn_01x02,AMASS_XT60PW-M
36,R3,C_0201_0603Metric,1,69.8K,ERJ-1GNF6982C
37,L1,Inductor,1,5.6uH 0.6A(Min),78438356056
38,J3,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,1,Conn_01x06,JST_GH_SM06B-GHS-TB
39,R13,C_0201_0603Metric,1,22.1K,ERJ-1GNF2212C
40,IC2,SOT95P280X145-6N,1,LMR54406DBVR,LMR54406DBVR
41,R10,R_0402_1005Metric,1,120E,CRCW0402120RJNED
